姓名,選區,政黨,現任立委,曾任立委,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結
陳秀寳,彰化縣第一選舉區,民主進步黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/64265579_2339902349590865_1993118683680997376_n.jpg?_nc_cat=102&_nc_oc=AQmV7mzbhxOAodRJ-uf0VysUNG9TN6Koe_Gh85hD3pAuaoTL0y4bBAV_UXojUskD5KW5_BMaqSLvLXc_W0Lsl-JC&_nc_ht=scontent.ftpe7-3.fna&oh=775b23a5e5af1c198a3ca55ab128253f&oe=5E5947D4,,https://www.facebook.com/%E9%99%B3%E7%A7%80%E5%AF%B6-2213635748884193/,,,,,,
張瀚天,彰化縣第二選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/55529864_2827522154140270_5939350857337274368_n.jpg?_nc_cat=110&_nc_oc=AQmvy_nkg5ZsJFFTY3oQctz2ONeU3B7PAQKQCBIfpZyM9m4jvTPksUTifipErBJy_XsdwKHPrGt874RcnGGJJP2y&_nc_ht=scontent.ftpe7-1.fna&oh=66ec56a0ae65e3c182515ace279fccaa&oe=5E5AE61B,https://zh.wikipedia.org/wiki/張瀚天,https://www.facebook.com/%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%80%99%E9%81%B8%E4%BA%BA%E5%BC%B5%E7%80%9A%E5%A4%A9-1804865663072596/,,,,,,
黃秀芳,彰化縣第二選舉區,民主進步黨,Y,Y,1971-11-10,48,http://www.ly.gov.tw/Images/Legislators/90074.jpg,https://zh.wikipedia.org/wiki/黃秀芳,https://www.facebook.com/smilefangfang/,靜宜大學外文系畢業;,立法院OpenData,"彰化縣第16、17、18屆縣議員;台灣關懷婦女協會理事長;關懷文教基金會執行長;立法委員周清玉國會辦公室主任;
  ;",立法院OpenData,,
陳杰,彰化縣第二選舉區,無黨籍,N,Y,,,http://www.ly.gov.tw/Images/Legislators/71064.jpg,https://zh.wikipedia.org/wiki/陳杰_,https://www.facebook.com/chen.jay/,日本近畿大學畢業;政治大學碩士;,立法院OpenData,"政大碩士;中華民國全國總工會理事長;台灣總工會理事長;彰化縣總工會理事長;台灣省鄉鎮市長聯誼會總會長;彰化市長;彰化縣議員;立法委員;
  ;",立法院OpenData,,
黃玉芬,彰化縣第二選舉區,無黨籍,N,N,1982-01-01,38,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/38932982_1742734599109295_3541273403967143936_n.jpg?_nc_cat=102&_nc_oc=AQmtrGR712vi8kcranNCO3ENwHBWHDyPzg2LuehrwlK_Z5QEsSmD4hQKOBUCJ9VflOgLOKMrjLAXoT2nHjGE-FvL&_nc_ht=scontent.ftpe7-3.fna&oh=5aaace5c84126a4341bbfb8237c445f3&oe=5E486934,https://zh.wikipedia.org/wiki/黃玉芬,https://www.facebook.com/%E9%BB%83%E7%8E%89%E8%8A%AC-491176550931779/,,,,,,
謝衣鳳,彰化縣第三選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/51760985_378290922970853_775806269163307008_o.jpg?_nc_cat=108&_nc_oc=AQloYcUa5VPB9MhnzJLup7WWOUXTZotIOovEb6gFKmHl4Pcp8zn2B32Y-VBEjnujdCDTbvTclRUJm6iU1qqhFn-8&_nc_ht=scontent.ftpe7-3.fna&oh=ccf2d8d779794c4eaa776d57c51c7327&oe=5E3EE2E5,https://zh.wikipedia.org/wiki/謝衣鳳,https://www.facebook.com/HsiehYifong/,,,,,,
洪宗熠,彰化縣第三選舉區,民主進步黨,Y,Y,1969-01-27,51,http://www.ly.gov.tw/Images/Legislators/90042.jpg,https://zh.wikipedia.org/wiki/洪宗熠,https://www.facebook.com/Hungchunyifans/,國立彰化師範大學行政管理碩士;國立中興大學公共行政系法學士;,立法院OpenData,"第15、16、17、18屆彰化縣議員;
  ;",立法院OpenData,,
蕭景田,彰化縣第四選舉區,中國國民黨,N,Y,,,http://www.ly.gov.tw/Images/Legislators/71103.jpg,https://zh.wikipedia.org/wiki/蕭景田,https://www.facebook.com/zhanghua8382277/,社頭朝興國小;永靖農工;陸軍官校專修班畢業;,立法院OpenData,彰化縣議會第14、15、16屆副議長;彰化縣社頭鄉第10屆代表會主席;彰化縣社頭鄉第11、12屆鄉長;台灣蕭氏宗親會總會長(第2屆);彰化縣社頭鄉農會委員;清水岩國際獅子會創會長;農田水利會會務監事;社頭國際同濟會創會長;義消顧問;革命實踐研究院第4期結業,立法院OpenData,,
陳素月,彰化縣第四選舉區,民主進步黨,Y,Y,1966-01-18,54,http://www.ly.gov.tw/Images/Legislators/90064.jpg,https://zh.wikipedia.org/wiki/陳素月,https://www.facebook.com/chengSayYes/,文化大學史學研究所碩士;文化大學史學系;台中女中;南投縣名間國中、僑興國小;,立法院OpenData,"第8屆立法委員;第16、17屆彰化縣議員;國立空中大學講師;財團法人拓展文教基金會執行長;立法委員魏明谷國會助理;大葉大學兼任講師;民主進步黨第10~16屆全國黨員代表;彰化縣南投同鄉會總幹事;員林百果山獅子會第21屆會長;
  ;",立法院OpenData,,
陳志傑,彰化縣第四選舉區,安定力量,N,N,,,,,,,,,,,
馬文君,南投縣第一選舉區,中國國民黨,Y,Y,1965-12-01,54,http://www.ly.gov.tw/Images/Legislators/90048.jpg,https://zh.wikipedia.org/wiki/馬文君,https://www.facebook.com/nantou.go/,逢甲大學經營管理碩士 ;嘉南藥專(嘉南藥理科技大學)藥理科畢業 ;大成國中;育英國小;,立法院OpenData,"第7、8屆立法委員;立法院外交及國防委員會召集委員;南投縣婦工會總會長;南投縣民防總隊義警大隊大隊長;第14、15屆埔里鎮長;南投縣第13屆縣議員;弘道老人福利基金會助老委員;南投縣家扶中心委員;
  ;",立法院OpenData,,
蔡培慧,南投縣第一選舉區,民主進步黨,Y,Y,1971-09-02,48,http://www.ly.gov.tw/Images/Legislators/90091.jpg,https://zh.wikipedia.org/wiki/蔡培慧,https://www.facebook.com/ahuitsai.tw/,臺灣大學生物產業傳播暨發展學系博士;,立法院OpenData,"九二一震災重建基金會執行秘書;台灣農村陣線發言人暨秘書長;世新大學社會發展研究所副教授;
  ;",立法院OpenData,,
許淑華,南投縣第二選舉區,中國國民黨,Y,Y,1973-05-22,46,http://www.ly.gov.tw/Images/Legislators/90056.jpg,https://zh.wikipedia.org/wiki/許淑華_,https://www.facebook.com/%E8%A8%B1%E6%B7%91%E8%8F%AF-130771133668155/,逢甲大學經營管理碩士畢;,立法院OpenData,第8屆立法委員;南投市第8、9屆市長;南投縣第15屆議員;中國國民黨18屆第3、4任及19屆第1、2、3、4任中常委;南投縣商業總會第21屆理事長;台灣省商業會94年十大傑出理事長;95年全國社會優秀青年;南投縣南開科技大學校友會理事長;南投縣跆拳道主任委,立法院OpenData,,
