選區,參選人,網址,FB_ID,讚數,藍勾勾,建立日期,管理員國家,改名次數
新北市第六選舉區,王向榮,https://www.facebook.com/%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E7%AB%8B%E5%A7%94%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA%E7%8E%8B%E5%90%91%E6%A6%AE-2254769834566581/,2254769834566581,574,not_verified,2019-04-25,"Taiwan (3)",0
新北市第七選舉區,柯志恩,https://www.facebook.com/KoChihEn/,911433142308383,73112,blue_verified,2016-02-01,"Taiwan (7)",0
新北市第七選舉區,羅致政,https://www.facebook.com/voteforlo/,182836328407031,101926,blue_verified,2011-01-12,"Taiwan (6)",1
新北市第七選舉區,吳達偉,https://www.facebook.com/Z9forTW,101001864642614,5322,not_verified,2019-09-29,"Taiwan (6)",0
新北市第七選舉區,黃足貞,https://www.facebook.com/%E6%9D%BF%E6%A9%8B%E9%98%BF%E8%B2%9E-114772999905861/,114772999905861,1554,not_verified,2019-09-11,,0
新北市第八選舉區,邱烽堯,https://www.facebook.com/chiufengyao/,108611469166364,3201,not_verified,2010-03-29,"Taiwan (2)",1
新北市第八選舉區,江永昌,https://www.facebook.com/iamyungchang/,516677158492412,10775,blue_verified,2015-09-30,"Taiwan (9)",1
新北市第八選舉區,李國憲,https://www.facebook.com/QBarDurmasLee/,115679116502084,1076,not_verified,2019-10-03,"Taiwan (8)",1
新北市第九選舉區,林德福,https://www.facebook.com/lintefu/,888230767933636,27385,blue_verified,2015-10-19,"Taiwan (3)",0
新北市第九選舉區,蔡沐霖,https://www.facebook.com/MuLinTsai2020/,101053674625040,8573,blue_verified,2019-09-13,"Taiwan (17)",0
新北市第九選舉區,楊智淵,https://www.facebook.com/%E6%A5%8A%E6%99%BA%E6%B7%B5-%E5%8F%8D%E5%85%B1%E6%9C%80%E5%89%8D%E7%B7%9A-101414597957372/,101414597957372,723,not_verified,2019-10-20,,0
新北市第九選舉區,陳愷寧,https://www.facebook.com/%E9%99%B3%E6%84%B7%E5%AF%A7-428967124625683/,428967124625683,211,not_verified,2019-07-09,,0
新北市第十選舉區,林金結,https://www.facebook.com/%E6%9E%97%E9%87%91%E7%B5%90-659037314174633/,659037314174633,5844,blue_verified,2014-06-04,"Taiwan (6)",0
新北市第十選舉區,吳琪銘,https://www.facebook.com/wuqiming519/,622028857838106,19476,blue_verified,2013-08-21,"Taiwan (13)",0
新北市第十選舉區,楊詩龍,https://www.facebook.com/taxbymywill/,114771789913456,86,not_verified,2019-09-18,,2
新北市第十選舉區,李縉穎,https://www.facebook.com/LeeChinYing/,123607365704240,5594,not_verified,2019-09-30,"Taiwan (7), United States (1)",0
新北市第十一選舉區,羅明才,https://www.facebook.com/mtlo.tw/,186040511466669,19106,blue_verified,2011-09-02,"Taiwan (6)",1
新北市第十一選舉區,張銘祐,https://www.facebook.com/mingyu19840717/,238129619557450,17243,not_verified,2011-08-24,"Taiwan (10)",2
新北市第十二選舉區,李永萍,https://www.facebook.com/LeeYongping2019/,374099496514384,12954,blue_verified,2019-04-02,"Taiwan (7)",0
新北市第十二選舉區,賴品妤,https://www.facebook.com/LaiPinYuSouichi/,102499747817312,40039,not_verified,2019-09-18,"Taiwan (11)",0
新北市第十二選舉區,孫繼正,https://www.facebook.com/SJZ2020/,1218017734949604,4383,not_verified,2017-01-07,"Taiwan (6)",2
新北市第十二選舉區,賴嘉倫,https://www.facebook.com/GoGoAlan2020/,111677570194316,2241,not_verified,2019-08-19,"Taiwan (11)",1
桃園市第一選舉區,陳根德,https://www.facebook.com/kentechen/,127397457601670,25785,blue_verified,2015-08-04,"Taiwan (4)",0
桃園市第一選舉區,陳泓維,https://www.facebook.com/LAG555/,675213702940588,1038,blue_verified,2019-06-21,"Taiwan (5)",0
桃園市第二選舉區,吳志揚,https://www.facebook.com/johnwu1969/,796338173770408,23565,not_verified,2015-03-02,"Taiwan (11)",0
桃園市第二選舉區,黃世杰,https://www.facebook.com/SCHuangLawyer/,233645830550999,4154,not_verified,2018-08-14,"Taiwan (10), Japan (1)",2
桃園市第二選舉區,吳文凱,https://www.facebook.com/nationdoctor/,115328159870328,230,not_verified,2019-10-02,,0
