term,sessionPeriod,sessionTimes,name,clicks
"09","04","03",國家安全法第二條之一及第五條之一條文修正草案,737
"09","01","21",律師法修正草案,735
"09","02","06",國有財產法第五十二條之二條文修正草案,729
"09","01","05",農會法部分條文修正草案,722
"09","01","10",國民教育法第八條條文修正草案,718
"09","02","12",勞動基準法增訂第三十八條之一條文草案,707
"09","03","08",全國循環專區試點暨新材料循環產業園區申請設置計畫,702
"09","01","15",毒品危害防制條例第十八條、第十九條及第三十六條條文修正草案,699
"09","05","10",公司法部分條文修正草案,693
"09","05","10",勞動事件法草案,693
"09","01","04",國籍法刪除第九條及第十條條文草案,686
"09","01","11",性別工作平等法第二十七條及第三十八條條文修正草案,685
"09","01","15",地方制度法第四十四條及第四十六條條文修正草案,685
"09","01","12",人工生殖法第三條條文修正草案,684
"09","01","14",學校教職員退休條例第十四條條文修正草案,684
"09","07","09",工廠管理輔導法部分條文修正草案,678
"09","01","14",入出國及移民法第十六條條文修正草案,676
"09","07","09",再生能源發展條例修正草案,674
"09","01","14",陪審法草案,673
"09","02","03",化粧品衛生管理條例修正草案,669
"09","05","13",社會秩序維護法第六十三條條文修正草案,666
"09","04","06",陸海空軍軍官士官服役條例第六條條文修正草案,662
"09","01","08",政黨及其附隨組織財產調查暨處理條例草案,661
"09","02","05",納稅者權利保護法草案,661
"09","03","01",民法繼承編施行法第二條之一、第四條及第九條之一條文修正草案,658
"09","02","16",醫療法第八十二條條文修正草案,657
"09","02","09",勞動基準法施行細則,656
"09","02","06",勞動基準法第三十八條條文修正草案,654
"09","03","07",前瞻基礎建設特別條例草案,653
"09","01","10",立法委員互選院長副院長辦法第一條及第一條之一條文修正草案,652
"09","02","06",發展觀光條例第三十八條條文修正草案,650
"09","01","15",教保服務人員條例草案,648
"09","01","16",礦業法部分條文修正草案,648
"09","07","14",公投第12案施行法草案,647
"09","02","01",106年度中央政府總預算案(含附屬單位預算及綜計表-營業及非營業部分),645
"09","01","05",食農教育基本法草案,644
"09","04","01",促進境外資金回國投資特別條例草案,639
"09","05","03",再生能源發展條例修正草案,639
"09","05","07",營業秘密法部分條文修正草案,635
"09","06","04",工廠管理輔導法第三十四條及第三十四條之一條文修正草案,629
"09","01","10",農田水利會組織通則部分條文修正草案,628
"09","01","06",災害防救法部分條文修正草案,626
"09","01","19",組織犯罪防制條例第七條條文修正草案,626
"09","02","11",立法院組織法增訂第十五條之一條文草案,623
"09","01","14",勞動基準法第十四條條文修正草案,622
"09","02","13",行政法人放射性廢棄物管理中心設置條例草案,617
"09","02","15",公路法增訂第七十八條之一條文草案,617
"09","07","09",貨物稅條例第十二條之五及第十二條之六條文修正草案,612
"09","01","13",國民教育法增訂第四條之一條文草案,609
"09","01","14",促進轉型正義條例草案,609
"09","02","13",醫療法部分條文修正草案,607
"09","01","10",就業服務法第五十二條條文修正草案,606
"09","03","10",公務人員退休撫卹法草案,603
"09","02","01",106年度中央政府總預算案(含附屬單位預算及綜計表-營業及非營業部分),601
"09","01","02",文化資產保存法部分條文修正草案,600
"09","01","12",最低工資法草案,597
"09","01","10",農會法第二十五條之一條文修正草案,596
"09","07","14",司法院釋字第七四八號解釋暨公投第十二案施行法草案,595
"09","03","08",公務人員退休撫卹法草案,593
"09","03","10",刑事訴訟法部分條文修正草案,593
"09","05","12",環境資源部生物多樣性及森林保育研究所組織法草案,592
"09","04","03",新南向醫衛合作與產業鏈發展中長程計畫,591
"09","02","01",106年度中央政府總預算案(含附屬單位預算及綜計表-營業及非營業部分),586
"09","02","11",發展觀光條例增訂第三十七條之一、第五十五條之一及第五十五條之二條文草案,584
"09","01","04",集會遊行法部分條文修正草案,581
"09","04","07",產業創新條例第二十七條條文修正草案,578
"09","01","09",文化資產保存法修正草案,577
"09","01","20",資恐防制法草案,576
"09","02","08",全民健康保險法第九條及第一百零四條條文修正草案,574
"09","01","03",難民法草案,573
"09","01","05",政治檔案法草案,572
"09","01","06",證人保護法第二條及第二十三條條文修正草案,571
"09","02","07",難民法草案,571
"09","01","07",消防設備人員法草案,570
"09","06","15",都市再生特別條例草案,570
"09","04","05",電信法第八條條文修正草案,568
"09","06","07",特殊教育法第十四條、第二十六條及第四十七條條文修正草案,567
"09","01","08",毒品危害防制條例第二條及第十一條之一條文修正草案,566
"09","01","11",廢止國家資通安全科技中心設置條例,563
"09","01","04",難民法草案,559
"09","01","15",貪污治罪條例第十條及第二十條條文修正草案,558
"09","04","09",勞動基準法第三十二條之一、第三十四條及第三十八條條文修正草案,555
"09","01","02",總統、副總統交接條例草案,553
"09","01","12",歷史正義與權利回復法草案,553
"09","03","10",運動產業發展條例部分條文修正草案,553
"09","04","01",長期照顧服務機構法人條例草案,553
"09","02","02",勞動基準法增訂第四十條之一條文草案,551
"09","04","06",政府採購法部分條文修正草案,550
"09","03","05",工會法第四條條文修正草案,547
"09","02","10",助產人員法第三十六條條文修正草案,546
"09","01","09",所得稅法增訂第四十三條之三及第四十三條之四條文草案,544
"09","04","12",都市更新條例修正草案,544
"09","05","03",公司法部分條文修正草案,544
"09","01","04",公教人員保險法第四十八條條文修正草案,541
"09","02","07",關稅法部分條文修正草案,541
"09","03","12",租賃住宅市場發展條例草案,540
"09","01","11",文化資產保存法修正草案,539
"09","02","02",幼兒園教保服務人員條例草案,538
"09","03","10",遺產及贈與稅法第十三條、第十九條及第二十二條條文修正草案,537
"09","04","06",金融科技創新實驗條例草案,535
"09","07","07",貨物稅條例第十一條之一及第十二條之六條文修正草案,535
"09","02","09",勞動基準法第三十八條條文修正草案,533
"09","02","10",水土保持法第三十二條條文修正草案,533
"09","01","12",私立學校法部分條文修正草案,532
"09","02","14",科學技術基本法第十三條條文修正草案,532
"09","02","12",醫療法第八十二條條文修正草案,528
"09","02","10",公路法第七十七條及第七十八條之一條文修正草案,527
"09","01","13",偏鄉教育法草案,526
"09","02","02",考試院組織法第三條、第四條及第五條條文修正草案,525
"09","06","06",中央政府前瞻基礎建設計畫第2期特別預算案,525
"09","04","08",心理師法修正草案,524
"09","02","10",性別平等教育法第二十二條及第三十條之一條文修正草案,521
"09","07","11",臺灣地區與大陸地區人民關係條例第十六條條文修正草案,521
"09","01","03",花東快速道路建設特別條例草案,520
"09","01","17",反族群歧視法草案,519
"09","01","12",勞動基準法第二十四條條文修正草案,518
"09","03","06",國民營養及健康飲食促進法草案,517
"09","01","03",食農教育法草案,516
"09","01","04",勞動基準法第八十四條之一條文修正草案,516
"09","02","14",納稅者權利保護法草案,516
"09","04","05",心理師法修正草案,516
"09","02","06",駐外外交領事人員任用條例第二條條文修正草案,515
"09","07","06",中華民國刑法第二百五十一條、第三百十條及第三百十三條條文修正草案,514
"09","02","03",政治獻金法第二十五條及第二十六條條文修正草案,513
"09","03","10",公教人員退職退休給與併計黨務人員年資處理條例草案,513
"09","04","02",行政法人災防科技中心,513
"09","01","14",促進轉型正義外來政權統治原住民族時期原住民受損權利回復及補償條例草案,510
"09","02","01",都市更新條例修正草案,510
"09","01","04",公務人員退休法第二十一條、第二十三條及第二十四條之一條文修正草案,509
"09","03","09",文化基本法草案,508
