政黨,順位,姓名,現任立委,曾任立委（次要）,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結,其他,(封存) 缺少來源的學歷,(封存) 缺少來源的政見
親民黨,3,宣明智,N,N,1952/02/26,67,,https://zh.wikipedia.org/wiki/宣明智,,國立交通大學電子工程學系,,"    國立交通大學傑出校友（1995）
    國立交通大學名譽博士（2001）
    聯華電子股份有限公司副董事長
    矽統科技股份有限公司董事長（2003-？）
    聯華電子股份有限公司榮譽副董事長
    友訊科技股份有限公司董事長",,,,,,
親民黨,4,劉宥彤,N,N,,,,https://zh.wikipedia.org/wiki/劉宥彤,,,,永齡基金會執行長,,,,,,
親民黨,5,陳怡潔,Y,Y,1979-09-09,40,,https://zh.wikipedia.org/wiki/陳怡潔,,銘傳大學管理學院管理研究所博士,,"親民黨團幹事長
臺北市政府青年事務委員會副主任委員
銘傳大學管理學院助理教授
德明財經科技大學助理教授
康寧護專企管科講師
財團法人臺北市陳安文教基金會執行長
立法院（第八屆）委員（2013年3月22日－2016年1月31日）
立法院（第九屆）委員（2016年2月1日－2020年1月31日）",,,,,,
親民黨,6,張碩文,N,Y,1971-05-07,48,,https://zh.wikipedia.org/wiki/張碩文,,,,"親民黨組織部主任
 中華民國第7屆 立法委員",,,,,,
親民黨,7,施壽全,N,N,,,,https://zh.wikipedia.org/wiki/施壽全,,,,馬偕醫院前院長,,,,,,
親民黨,8,李海同,N,N,,,,https://zh.wikipedia.org/wiki/李海同,,,,青溪總會指導顧問,,,,,,
親民黨,9,蔡沁瑜,N,N,1974-08-17,45,,https://zh.wikipedia.org/wiki/蔡沁瑜,,國立政治大學廣播電視學系學士vi ,,"永齡基金會副執行長
高雄萬發有線電視公司新聞部記者兼任主播
東森新聞台記者兼主播
英資達（OKWAP）行銷企劃
中視晨間新聞主播兼記者
中天新聞台新聞主播兼記者
民視新聞台新聞主播兼記者
壹電視新聞台新聞主播及主持人（2010年3月19日~2017年10月3日）
禮客OUTLET副總
郭台銘幕僚發言人
",,,,,,
親民黨,10,高瀚,N,N,,,,https://zh.wikipedia.org/wiki/高瀚,,,,德國音樂博士,,,,,,
親民黨,11,游文人,N,N,,,,https://zh.wikipedia.org/wiki/游文人,,,,中華大學講座教授,,,,,,
親民黨,12,陳秀玲,N,N,,,,https://zh.wikipedia.org/wiki/陳秀玲,,,,楊梅區陳姓婦女宗親會理事長,,,,,,
親民黨,13,黃文卿,N,N,,,,https://zh.wikipedia.org/wiki/黃文卿,,,,中華民國旅行品保協會理事,,,,,,
親民黨,14,李本玠,N,N,,,,https://zh.wikipedia.org/wiki/李本玠,,,,大道旅行社董事長,,,,,,
親民黨,15,黎淑慧,N,N,,,,https://zh.wikipedia.org/wiki/黎淑慧,,,,明新科技大學副教授兼多元族群文化中心主任,,,,,,
親民黨,16,彭瓊芳,N,N,,,,https://zh.wikipedia.org/wiki/彭瓊芳,,,,台北市生物技術服務業商業同業公會榮譽理事長,,,,,,
親民黨,17,劉宗夏,N,N,,,,https://zh.wikipedia.org/wiki/劉宗夏,,,,文字工作與金融投資,,,,,,
親民黨,18,林昊宜,N,N,,,,https://zh.wikipedia.org/wiki/林昊宜,,,,原住民青年代表,,,,,,
親民黨,19,趙偉伶,N,N,,,,https://zh.wikipedia.org/wiki/趙偉伶,,,,義守大學行銷管理講師,,,,,,
親民黨,20,蕭涵方,N,N,,,,https://zh.wikipedia.org/wiki/蕭涵方,,,,信榮整合行銷有限公司董事長,,,,,,
親民黨,21,陳一夫,N,N,,,,https://zh.wikipedia.org/wiki/陳一夫,,,,廣先堂生技製藥總經理,,,,,,
親民黨,22,吳方宜,N,N,,,,https://zh.wikipedia.org/wiki/吳方宜,,,,國際人道救援組織志工,,,,,,
台灣民眾黨,1,賴香伶,N,N,1968-01-05,51,,https://zh.wikipedia.org/wiki/賴香伶,,"國立新竹女子高級中學畢業
輔仁大學企業管理系畢業
世新大學社會發展研究所畢業",,"人民火大行動聯盟發起人
人民火大行動聯盟秘書長兼發言人
台北市勞資爭議輔佐人協會總幹事
台北市政府勞資爭議調解委員
台北市政府勞工局機要秘書
中正機場台北航空貨運站工會秘書
台北市政府勞動局局長（2014年12月25日－）",,,,,,
台灣民眾黨,2,張其祿,N,N,,51,,https://zh.wikipedia.org/wiki/張其祿,,美國南加州大學公共行政學博士,https://newtalk.tw/news/view/2019-11-19/328754,"中山大學政治經濟系教授
中山大學社會科學院長",https://newtalk.tw/news/view/2019-11-19/328754,,,,,
台灣民眾黨,3,高虹安,N,N,,35,,https://zh.wikipedia.org/wiki/高虹安,,美國辛辛那提大學機械工程博士,https://newtalk.tw/news/view/2019-11-19/328754,"鴻海集團工業大數據辦公室主任
永齡基金會顧問",https://newtalk.tw/news/view/2019-11-19/328754,,,,,
台灣民眾黨,4,邱臣遠,N,N,,38,,https://zh.wikipedia.org/wiki/邱臣遠,,,,"世界台灣商會聯合總會秘書長
僑務委員會僑務促進委員
台灣連鎖加盟促進協會國際發展首席顧問",https://newtalk.tw/news/view/2019-11-19/328754,,,,,
台灣民眾黨,5,蔡壁如,N,N,,55,,https://zh.wikipedia.org/wiki/蔡壁如,,,,"柯文哲市府顧問
臺北市市長辦公室主任
曾任台大醫院葉克膜小組組長",https://newtalk.tw/news/view/2019-11-19/328754,,,,,
台灣民眾黨,6,楊博宇,N,N,,39,,https://zh.wikipedia.org/wiki/楊博宇,,台大生物環境系統工程學系暨研究所碩士,https://newtalk.tw/news/view/2019-11-19/328754,"楊博宇建築師事務所主持建築師
曾或全國傑出青年獎章",https://newtalk.tw/news/view/2019-11-19/328754,,,,,
台灣民眾黨,7,吳欣盈,N,N,1978/5/0,45,,https://zh.wikipedia.org/wiki/吳欣盈,,英國倫敦商學院工商管理碩士,https://newtalk.tw/news/view/2019-11-19/328754,"新光人壽慈善基金會執行長
新光人壽保險股份有限公司 副總經理
臺灣工商企業聯合會 監事
新光大學新加坡專案 總籌備規劃負責人",,,,,,
台灣民眾黨,8,詹翔欽,N,N,,26,,https://zh.wikipedia.org/wiki/詹翔欽,,,,翔琪檸檬茶創辦人,,,,,,
台灣民眾黨,9,陳琬惠,N,N,,45,,https://zh.wikipedia.org/wiki/陳琬惠,,,,台灣工藝團體自律團體聯盟秘書長,,,,,,
台灣民眾黨,10,林國成,N,N,1957-08-20,62,,https://zh.wikipedia.org/wiki/林國成,,,,台北市議員,,,,,,
台灣民眾黨,11,孫智麗,N,N,,50,,https://zh.wikipedia.org/wiki/孫智麗,,,,財經專家,,,,,,
台灣民眾黨,12,楊弘仁,N,N,,51,,https://zh.wikipedia.org/wiki/楊弘仁,,,,桃園敏盛醫療集團執行長,,,,,,
台灣民眾黨,13,黃瀞瑩,N,N,1992-06-10,27,,https://zh.wikipedia.org/wiki/黃瀞瑩,,"臺北市立文林國小
臺北市立蘭雅國中
臺北市立明倫高中
輔仁大學新聞傳播學系
倫敦大學金匠學院政治傳播學系",,台北市政府副發言人,,,,,,
台灣民眾黨,14,馮啟彥,N,N,,53,,https://zh.wikipedia.org/wiki/馮啟彥,,,,苗栗大千綜合醫院外科部主任,,,,,,
台灣民眾黨,15,江惠儀,N,N,1984-01-11,35,,https://zh.wikipedia.org/wiki/江惠儀,,國立交通大學資訊管理與財務金融研究所博士（攻讀中）,,金曲歌后、中華電信工程師,,,,,,
台灣民眾黨,16,羅義興,N,N,,47,,https://zh.wikipedia.org/wiki/羅義興,,,,台北市立大學理學院院長,,,,,,
台灣民眾黨,17,陳思宇,N,N,,33,,https://zh.wikipedia.org/wiki/陳思宇,,,,柯辦發言人、北市府觀傳局前局長,,,,,,
台灣民眾黨,18,魏安國,N,N,,46,,https://zh.wikipedia.org/wiki/魏安國,,,,立法院預算中心副研究員,,,,,,
台灣民眾黨,19,李思慧,N,N,,37,,https://zh.wikipedia.org/wiki/李思慧,,,,職業護理師,,,,,,
台灣民眾黨,20,傅郁揚,N,N,,37,,https://zh.wikipedia.org/wiki/傅郁揚,,,,通霄鎮民代表,,,,,,
台灣民眾黨,21,何容君,N,N,,44,,https://zh.wikipedia.org/wiki/何容君,,,,台北醫學大學口腔衛生學系助理教授,,,,,,
台灣民眾黨,22,端木正,N,N,,49,,https://zh.wikipedia.org/wiki/端木正,,,,會計師,,,,,,
台灣民眾黨,23,陳安芃,N,N,,38,,https://zh.wikipedia.org/wiki/陳安芃,,,,工研院研究員,,,,,,
台灣民眾黨,24,何松穎,N,N,,38,,https://zh.wikipedia.org/wiki/何松穎,,,,台北市聯合醫院家庭醫學科主治醫師,,,,,,
台灣民眾黨,25,吳靜怡,N,N,,29,,https://zh.wikipedia.org/wiki/吳靜怡,,,,藝世代有限公司負責人,,,,,,
台灣民眾黨,26,李家齊,N,N,,28,,https://zh.wikipedia.org/wiki/李家齊,,,,花旗銀行襄理,,,,,,
台灣民眾黨,27,周芳如,N,N,1966-03-28,53,,https://zh.wikipedia.org/wiki/周芳如,,文化大學,,台灣室內樂藝術推廣協會行政總監,,,,,,
台灣民眾黨,28,張學瀚,N,N,,28,,https://zh.wikipedia.org/wiki/張學瀚,,,,音樂製作人,,,,,,
台灣團結聯盟,1,潘建志,N,N,1966-07-30,53,,https://zh.wikipedia.org/wiki/潘建志,,"衛道中學初中部
省立臺中一中
臺北醫學大學醫學系學士",,"臺灣部落格協會理事長
臺北馬偕醫院實習醫師、住院醫師
臺中靜和醫院精神科主治醫師
臺北市立萬芳醫院精神科主治醫師",,,,,,
台灣團結聯盟,2,周倪安,N,Y,1972-10-07,47,,https://zh.wikipedia.org/wiki/周倪安,,,,中華民國第八屆立法委員,,,,,,
台灣團結聯盟,3,劉一德,N,N,1960-04-15,59,,https://zh.wikipedia.org/wiki/劉一德,,"嘉義高中
台灣大學政治系
淡江大學中國大陸研究所
",,"中國青年黨主編《在野論壇》雜誌
第一,二屆國民大會代表
第四任台灣團結聯盟主席",,,,,,
台灣團結聯盟,4,蔡以新,N,N,,,,https://zh.wikipedia.org/wiki/蔡以新,,,,新北市北新國小英語教師,,,,,,
台灣團結聯盟,5,潘厚勳,N,N,,,,https://zh.wikipedia.org/wiki/潘厚勳,,,,台聯文宣部主任,,,,,,
台灣團結聯盟,6,歐陽瑞蓮,N,N,,,,https://zh.wikipedia.org/wiki/歐陽瑞蓮,,,,台聯社運部主任,,,,,,
台灣團結聯盟,7,高基讚,N,N,,,,https://zh.wikipedia.org/wiki/高基讚,,,,台灣國會透明化促進協會理事長,,,,,,
台灣維新,1,賀德芬,N,N,1945/05/26,74,,https://zh.wikipedia.org/wiki/賀德芬,,美國華盛頓大大學法學碩士士,官方提供,"國立臺灣大大學法律律學院名譽教授
大大學教育改革革推動者
公共電視台推動者",官方提供,,,,,
台灣維新,2,萬淑娟,N,N,1964/01/01,55,,https://zh.wikipedia.org/wiki/萬淑娟,,臺南市神學院教會音音樂碩士士,官方提供,"臺南市⻄西拉雅文文化協會理理事長
總統府原住⺠民族歷史正義與轉型正義委員會平埔族群南部代表",官方提供,,,,"""西拉雅平埔族群正名運動，及復活已被國際認定「滅絕語言」的西拉雅語推動者，總統府原住民族歷史與轉型正義委員會委員。
""（缺少連結）",
台灣維新,3,曾吉郎,N,N,1958/04/10,61,,https://zh.wikipedia.org/wiki/曾吉郎,,識字跨界詩人,官方提供,"多次入圍及金金金曲獎最佳專輯得主
筆名白白聆的台語文文身身障創作者
無障礙環境推廣協會常務理理事",官方提供,,,,筆名白聆和沙漠魚的台語文身障創作者，多次入圍及金曲獎最佳兒歌專輯得主，長期關心保護弱勢權利、維護弱勢尊嚴，並主張修訂與落實身心障礙保護法。他保護藝文工作者基本生存權，增加其發表空間與機會。還有積極傳承保存與推廣母語教育。（缺少連結）,
台灣維新,4,蔡惠蘭,N,N,1973/07/02,46,,https://zh.wikipedia.org/wiki/蔡惠蘭,,崇右技術學院觀光旅遊管理理系學士士,官方提供,"原住⺠民廣播電台主持人人
新頭殼「聲源部落落」主持人人
河岸崁部落落「就地居住」發言言人人",官方提供,,,,"（阿固‧少多宜），現任原住民廣播電台Alian F M96.3「法律。我最懂」主持人、曾任「新頭殼「聲源部落」的主持人，還是2011年Pangcah阿美族守護聯盟「凱達格蘭大道還我土地運動」主持人、及河岸崁津部落「河岸部落就地合法居住」發言人。
（缺少連結）",
台灣維新,5,詹昭能,N,N,1960/04/10,59,,https://zh.wikipedia.org/wiki/詹昭能,,波士士頓大大學社會心心理理學博士,官方提供,"世新大大學副教授、學務長、學生生輔導中心心主任、社會心心理理系主
任",官方提供,,,,,
台灣維新,6,蘇煥智,N,N,1956/07/20,63,,https://zh.wikipedia.org/wiki/蘇煥智,,"輔仁大大學法律律研究所碩士士
臺灣大大學法律律學系學士士",官方提供,"臺灣維新發起人人暨召集人人
臺南縣第14、15任縣長
中華⺠民國第2-4屆立法委員",官方提供,,,,,
台澎黨,1,鄭自才,N,N,,,,https://zh.wikipedia.org/wiki/鄭自才,,國立成功大學建築系,,台灣建築設計師、畫家、台灣獨立運動參與者，與黃文雄是四二四刺殺蔣經國案當事人，也是黃文雄的妹夫。,,,,,,
台澎黨,2,黃聖峰,N,N,,,,https://zh.wikipedia.org/wiki/黃聖峰,,"台北市立女子師範學院(今台北市立大學博愛校區)
 國立台灣大學法律學系第二部(夜間部)學士
 司法官訓練所第18期
 國立台灣大學法律學研究所碩士","
",,,,,,,
台澎黨,3,楊神龍,N,N,,,,https://zh.wikipedia.org/wiki/楊神龍,,,,,,,,,,
台澎黨,4,林碧如,N,N,,,,https://zh.wikipedia.org/wiki/林碧如,,,,,,,,,,
中華統一促進黨,1,謝啟大,N,N,1949-02-10,70,,https://zh.wikipedia.org/wiki/謝啟大,,"台北市立女子師範學院(今 台北市立大學博愛校區)
國立台灣大學法律學系第二部(夜間部)學士
司法官訓練所第18期
國立台灣大學法律學研究所碩士",,"臺北市吳興國小教師
宜蘭地方法院法官
新竹地方法院法官
台灣高等法院花蓮分院法官
中華民國第二屆新竹市選區立法委員 (1993-1996)
中華民國第三屆、第四屆台中市選區立法委員 (1996-1999)(1999-2002)
新黨全國委員會召集人
SET電視台《凡人啟世錄》主持人
中國國際經濟貿易仲裁委員會上海分會首席仲裁員
中華慈善總會國學工程中心志工、顧問
臺北市政府參議，後轉任臺北市政府秘書處專門委員

",,,,,,
中華統一促進黨,2,丁炳仁,N,N,,,,https://zh.wikipedia.org/wiki/丁炳仁,,,,,,,,,,
中華統一促進黨,3,何建華,N,N,,,,https://zh.wikipedia.org/wiki/何建華,,,,,,,,,,
中華統一促進黨,4,馬銀海,N,N,,,,https://zh.wikipedia.org/wiki/馬銀海,,,,,,,,,,
中華統一促進黨,5,李承龍,N,N,,,,https://zh.wikipedia.org/wiki/李承龍,,,,,,,,,,
中華統一促進黨,6,張瑜庭,N,N,,,,https://zh.wikipedia.org/wiki/張瑜庭,,,,,,,,,,
中華統一促進黨,7,張安樂,N,N,1948/3/12,71,,https://zh.wikipedia.org/wiki/張安樂,,淡江文理學院歷史學系,,,,,,,,
喜樂島聯盟,1,林秀霞,N,N,,,,https://zh.wikipedia.org/wiki/林秀霞,,,,,,,,,,
喜樂島聯盟,2,施正鋒,N,N,,,,https://zh.wikipedia.org/wiki/施正鋒,,,,,,,,,,
喜樂島聯盟,3,高大成,N,N,,,,https://zh.wikipedia.org/wiki/高大成,,,,,,,,,,
喜樂島聯盟,4,李素貞,N,N,,,,https://zh.wikipedia.org/wiki/李素貞,,,,,,,,,,
喜樂島聯盟,5,張君瑜,N,N,,,,https://zh.wikipedia.org/wiki/張君瑜,,,,,,,,,,
喜樂島聯盟,6,林東徵,N,N,,,,https://zh.wikipedia.org/wiki/林東徵,,,,,,,,,,
新黨,1,邱毅,N,Y,1956-05-08,63,,https://zh.wikipedia.org/wiki/邱毅,,,,前立法委員、財經專業,,,,,,
新黨,2,陳麗玲,N,N,1969-07-27,50,,https://zh.wikipedia.org/wiki/陳麗玲,,,,前桃園縣觀光行銷局長、資深律師,,,,,,
新黨,3,沈采穎,N,N,,,,https://zh.wikipedia.org/wiki/沈采穎,,,,藥師公會全國聯合會政策執行長,,,,,,
新黨,4,王炳忠,N,N,1987-09-01,32,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/52415951_2216545985235946_1860791643234369536_n.jpg?_nc_cat=110&_nc_oc=AQllSS2MkTHAkpGEaUUAFQ98iEg844-hJEh0B5h7Jv835uAlOGQZZZn1NhjNs0aF6Y51S6GNQoxg4h2oUDDnyzwu&_nc_ht=scontent.ftpe7-1.fna&oh=0bebb33dcae233e43015b39936eb6026&oe=5E3F6CDE,https://zh.wikipedia.org/wiki/王炳忠,https://www.facebook.com/bingzhong.wang/,國立臺灣大學外國語文學系;國立政治大學外交學系碩士班畢業,,"新黨的新聞聯絡人兼青年委員會主席
全國委員會委員兼發言人",,,,,,
新黨,5,賀樺,N,N,,,,https://zh.wikipedia.org/wiki/賀樺,,,,台灣新住民經貿文化交流協會理事長,,,,,,
新黨,6,林明正,N,N,,,https://scontent.ftpe7-2.fna.fbcdn.net/v/t1.0-9/10356409_1011500648864552_3359335486949994247_n.jpg?_nc_cat=104&_nc_oc=AQnJudbfx1vEGpF2SrUkI0FTCqtK-Nya4zmkV23On1FV8E9dV0L2zKi10b2m8BEpKS7CWYsruNGNjD-YcZJm72Mx&_nc_ht=scontent.ftpe7-2.fna&oh=f99226b33c99bc901a711953216e2123&oe=5E52880E,https://zh.wikipedia.org/wiki/林明正,https://www.facebook.com/%E6%9E%97%E6%98%8E%E6%AD%A3-1001317079882909/,畢業於世新大學觀光事業學系、中國文化大學中國大陸研究所法學碩士，現就讀於中國文化大學史學系博士班,,"新黨青年委員會成員
新黨文宣委員會的副主任委員
",,,,,,
新黨,7,黃乃芸,N,N,,,,https://zh.wikipedia.org/wiki/黃乃芸,,,,食品學博士,,,,,,
新黨,8,龐文楚,N,N,,,,https://zh.wikipedia.org/wiki/龐文楚,,,,牙醫師,,,,,,
新黨,9,郝永瑞,N,N,,,,https://zh.wikipedia.org/wiki/郝永瑞,,,,新黨副秘書長,,,,,,
新黨,10,楊世光,N,N,1976-10-24,43,,https://zh.wikipedia.org/wiki/楊世光,,"國立臺北商業大學專科部畢業（1996年）
廣州中山大學金融系畢業(2002年)
國立台灣大學管理學院碩士（2019年）",,新黨2020總統選舉被連署人、媒體人,,,,,,
合一行動聯盟,1,彭迦智,N,N,,,,https://zh.wikipedia.org/wiki/彭迦智,,,,,,,,,,
合一行動聯盟,2,龍傅若瑋,N,N,,,,https://zh.wikipedia.org/wiki/龍傅若瑋,,,,,,,,,,
合一行動聯盟,3,郝淑薏,N,N,,,,https://zh.wikipedia.org/wiki/郝淑薏,,,,,,,,,,
合一行動聯盟,4,廖金河,N,N,,,,https://zh.wikipedia.org/wiki/廖金河,,,,,,,,,,
合一行動聯盟,5,孫成玉,N,N,,,,https://zh.wikipedia.org/wiki/孫成玉,,,,,,,,,,
合一行動聯盟,6,張宜興,N,N,,,,https://zh.wikipedia.org/wiki/張宜興,,,,,,,,,,
合一行動聯盟,7,周美雲,N,N,,,,https://zh.wikipedia.org/wiki/周美雲,,,,,,,,,,
合一行動聯盟,8,林傑忠,N,N,,,,https://zh.wikipedia.org/wiki/林傑忠,,,,,,,,,,
一邊一國行動黨,1,陳昭姿,N,N,,,,https://zh.wikipedia.org/wiki/陳昭姿,,,,前藥害公會董事長,,,,,,
一邊一國行動黨,2,鄭新助,N,N,1941/2/21,78,,https://zh.wikipedia.org/wiki/鄭新助,,高雄縣鳥松鄉鳥松國民小學畢業,,"臺灣廣播電視政論節目主持人
前高雄市議員
曾任民主進步黨中央評議委員（第四、五、六、九屆）、
國民大會代表（第三屆）、
行政院顧問、
高雄市議員（第一、二屆）、
快樂聯播網節目主持人。 ",,,,,,
一邊一國行動黨,3,朱孟庠,N,N,,,,https://zh.wikipedia.org/wiki/朱孟庠,,,,藝術家,,,,,,
一邊一國行動黨,4,楊其文,N,N,,,,https://zh.wikipedia.org/wiki/楊其文,,,,前台北藝術大學校長,,,,,,
一邊一國行動黨,5,張文翊,N,N,,,,https://zh.wikipedia.org/wiki/張文翊,,,,凱達格蘭學校校長金恆煒夫人,,,,,,
一邊一國行動黨,6,陳水扁,N,N,1950-10-12,69,,https://zh.wikipedia.org/wiki/陳水扁,,"隆田國民小學畢業（1963年）
臺南縣麻豆鎮曾文中學初中部畢業（1966年）
臺灣省立臺南第一高級中學畢業（1969年）
國立臺灣大學商學系工商管理組肄業（1970年）
國立臺灣大學法律學系學士畢業（1974年）",,"華夏海事商務法律事務所負責律師（1976年－1989年）
臺北市議會第四屆議員（1981年－1985年12月）
自由時代雜誌社社長（1984年3月－）
臺灣人權促進會執行委員（1984年12月－）
民主進步黨中常委（1987年－1989年）
民主進步黨中執委（1987年－1989年）
立法院（第1屆增額）委員（1990年2月1日－1993年1月31日）
民主進步黨立法院黨團幹事長（1990年－1993年）
福爾摩沙文教基金會董事長（1990年－1994年）
立法院（第2屆）委員（1993年2月1日－1994年12月25日）
臺北市市長（第4任）（1994年12月25日－1998年12月25日）
行政院消費者保護委員會委員（1997年7月14日－1998年12月28日）
福爾摩沙文教基金會董事長（1999年－2000年）
中華民國總統（第10－11任）（2000年5月20日－2008年5月20日）
民主進步黨（第10、11屆）主席（2002年7月21日－2004年12月11日2007年10月15日－2008年1月12日）
國家安全會議主席（2000年5月20日－2008年5月20日）
國家統一委員會主席（2000年5月20日－2006年2月28日）
政府改造委員會主任委員（2001年10月24日－2008年5月20日）
中國童子軍總會會長（2001年－2008年）
民主進步黨正義連線秘書長
壹周刊特約專攔作家
自由台灣黨榮譽黨主席",,,,,,
安定力量,1,朱竹元,N,N,,,,https://zh.wikipedia.org/wiki/朱竹元,,,,前證券櫃檯買賣中心副總,,,,,,
安定力量,2,陳曉虹,N,N,,,,https://zh.wikipedia.org/wiki/陳曉虹,,,,台灣婦女全福會會長,,,,,,
安定力量,3,毛嘉慶,N,N,,,,https://zh.wikipedia.org/wiki/毛嘉慶,,,,前國民黨發言人,,,,,,
安定力量,4,馮瑞珠,N,N,,,,https://zh.wikipedia.org/wiki/馮瑞珠,,,,仁慈醫院康復之家負責人,,,,,,
安定力量,5,裘佩恩,N,N,,,,https://zh.wikipedia.org/wiki/裘佩恩,,,,碩恩法律事務所主持律師,,,,,,
安定力量,6,林秋屏,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/74398546_150925756292304_8491645489496719360_n.jpg?_nc_cat=108&_nc_oc=AQkShID4cKp6WofeHHaiT_k0c2ys87xr8L0PcqXqLYHnYNLyS8iEpp5uiDXLp5l0ZOpyhUVJc5LE9BC42JPMLcVU&_nc_ht=scontent.ftpe7-3.fna&oh=b59c9f8bc7a2569fc3eeebf83219e9ff&oe=5E56FEF6,https://zh.wikipedia.org/wiki/林秋屏,https://www.facebook.com/evangelion.ping/,,,展翼人文實驗樂團總監,,,,,,
安定力量,7,吳蕚洋,N,N,1960-08-15,59,,https://zh.wikipedia.org/wiki/吳蕚洋,,"沙鹿國中
臺灣省立臺中商專企業管理科
逢甲大學財稅學系",,"兆豐產物保險花蓮分公司經理台北市長候選人（2018）
花蓮縣觀光文化大使（2019）滾石唱片未簽約歌手（2019）
白色聯盟黨第一任執行長(主席)（2019年7月10日－）
前台北市長候選人",,,,,,
安定力量,8,李允佳,N,N,,,,https://zh.wikipedia.org/wiki/李允佳,,,,鷹騰旅行社業務行銷副總,,,,,,
安定力量,9,洪正一,N,N,,,https://scontent.ftpe7-2.fna.fbcdn.net/v/t1.0-9/71186895_118941469507747_6738218665633644544_n.jpg?_nc_cat=104&_nc_oc=AQkTg9m8KhGfviNZkwoctM_x1mHUuQXcoYM2EUEqNuWcDGc6FVQboN_3TZSkJfY1VuqqxDTr7TsadE5UBvdxnJtZ&_nc_ht=scontent.ftpe7-2.fna&oh=322badfdc4d80b8d2ce0270d9e1ede9b&oe=5E4805FA,https://zh.wikipedia.org/wiki/洪正一,,,,艾普數碼國際執行,,,,,,
安定力量,10,蘇美玲,N,N,,,,https://zh.wikipedia.org/wiki/蘇美玲,,,,台灣微軟專案經理,,,,,,
