"'63","'000","'07","'020","'0013","683","1","8","100","*"
"'63","'000","'07","'020","'0013","684","1","0","0","*"
"'63","'000","'07","'020","'0013","685","1","0","0","*"
"'63","'000","'07","'020","'0014","686","1","5","100","*"
"'63","'000","'07","'020","'0014","687","1","0","0","*"
"'63","'000","'07","'020","'0014","688","1","0","0","*"
"'63","'000","'07","'020","'0015","689","1","0","0","*"
"'63","'000","'07","'020","'0015","690","1","7","100","*"
"'63","'000","'07","'020","'0015","691","1","0","0","*"
"'63","'000","'07","'020","'0016","692","1","0","0","*"
"'63","'000","'07","'020","'0016","693","1","6","100","*"
"'63","'000","'07","'020","'0016","694","1","0","0","*"
"'63","'000","'07","'020","'0016","695","1","0","0","*"
"'63","'000","'07","'020","'0017","696","1","8","100","*"
"'63","'000","'07","'020","'0017","697","1","0","0","*"
"'63","'000","'07","'020","'0017","698","1","0","0","*"
"'63","'000","'07","'020","'0017","699","1","0","0","*"
"'63","'000","'07","'020","'0018","700","1","1","100","*"
"'63","'000","'07","'020","'0018","701","1","0","0","*"
"'63","'000","'07","'020","'0018","702","1","0","0","*"
"'63","'000","'07","'020","'0018","703","1","0","0","*"
"'63","'000","'07","'020","'0019","704","1","1","100","*"
"'63","'000","'07","'020","'0019","705","1","0","0","*"
"'63","'000","'07","'020","'0019","706","1","0","0","*"
"'63","'000","'07","'020","'0020","707","1","0","0","*"
"'63","'000","'07","'020","'0020","708","1","0","0","*"
"'63","'000","'07","'020","'0020","709","1","0","0","*"
"'63","'000","'07","'020","'0020","710","1","0","0","*"
"'63","'000","'07","'020","'0020","711","1","5","100","*"
"'63","'000","'07","'020","'0021","712","1","0","0","*"
"'63","'000","'07","'020","'0021","713","1","3","100","*"
"'63","'000","'07","'020","'0022","714","1","1","100","*"
"'63","'000","'07","'020","'0022","715","1","0","0","*"
"'63","'000","'07","'020","'0022","716","1","0","0","*"
"'63","'000","'07","'020","'0022","717","1","0","0","*"
"'63","'000","'07","'020","'0023","718","1","0","0","*"
"'63","'000","'07","'020","'0023","719","1","2","100","*"
"'63","'000","'07","'020","'0023","720","1","0","0","*"
"'63","'000","'07","'020","'0024","721","1","4","100","*"
"'63","'000","'07","'020","'0024","722","1","0","0","*"
"'63","'000","'07","'020","'0024","723","1","0","0","*"
"'63","'000","'07","'020","'0024","724","1","0","0","*"
"'63","'000","'07","'020","'0025","725","1","0","0","*"
"'63","'000","'07","'020","'0025","726","1","0","0","*"
"'63","'000","'07","'020","'0025","727","1","13","100","*"
"'63","'000","'07","'020","'0025","728","1","0","0","*"
"'63","'000","'07","'020","'0025","729","1","0","0","*"
"'63","'000","'07","'020","'0026","730","1","0","0","*"
"'63","'000","'07","'020","'0026","731","1","0","0","*"
"'63","'000","'07","'020","'0026","732","1","0","0","*"
"'63","'000","'07","'020","'0026","733","1","14","100","*"
"'63","'000","'07","'020","'0027","734","1","1","100","*"
"'63","'000","'07","'020","'0027","735","1","0","0","*"
"'63","'000","'07","'020","'0027","736","1","0","0","*"
"'63","'000","'07","'020","'0028","737","1","0","0","*"
"'63","'000","'07","'020","'0028","738","1","0","0","*"
"'63","'000","'07","'020","'0028","739","1","5","100","*"
"'63","'000","'07","'020","'0029","740","1","0","0","*"
"'63","'000","'07","'020","'0029","741","1","0","0","*"
"'63","'000","'07","'020","'0029","742","1","0","0","*"
"'63","'000","'07","'020","'0029","743","1","9","100","*"
